Deutsch;Englisch;x;Systemnotitzen
jetzt;now;;
heute;today;;
morgen;tomorrow;;
gestern;yesterday;;
Sekunde;second;;
Minute;minute;;
Stunde;hour;;
Tag;day;;
Woche;week;;x
Monat;month;;
Jahr;year;;
fr�h;early;;
sp�t;late;;
Montag;Monday;;
Dienstag;Tuesday;;
Mittwoch;Wednesday;;
Donnerstag;Thursday;;
Freitag;Friday;;
Samstag;Saturday;;x
Sonntag;Sunday;;x
Fr�hling;spring;;
Sommer;summer;;
Herbst;fall (amerik.) / autumn (brit.);;
Winter;winter;;
Januar;January;;
Februar;February;;
M�rz;March;;
April;April;;
Mai;May;;
Juni;June;;
Juli;July;;
August;August;;
September;September;;
Oktober;October;;
November;November;;
Dezember;December;;
Uhrzeit;time;;
Wie sp�t ist es?;What time is it?;;
Jahrzehnt;decade;;
Jahrhundert;century;;
Orte;Locations;;
Supermarkt;grocery store;;
Krankenhaus;hospital;;
Bank;bank;;
Hotel;hotel;;
Bar;bar;;
Apotheke;pharmacy;;
Strand;beach;;
Restaurant;restaurant;;x
Flughafen;airport;;
B�ckerei;bakery;;
Bushaltestelle;bus station;;
Kirche;church;;
Kino;cinema;;x
Tankstelle;gas station;;
Museum;museum;;
Polizeistation;police station;;
Schule;school;;
Platz;square;;
Supermarkt;supermarket;;
Zoo;zoo;;
